Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Gin,WHITLEY NEILL BLACKBERRY 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL BLOOD ORANGE 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL BRAZILIAN LIME 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL MANGO & LIME 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL ORIGINAL 43%,1L,6,905.0,1080,2400.0,150.83,200.0,400.0
Gin,WHITLEY NEILL PINK GRAPEFRUIT 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL RASPBERRY 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL RHUBARB & GINGER 43%,1L,6,905.0,1080,2400.0,150.83,200.0,400.0
Gin,WHITLEY NEILL RHUBARB & GINGER 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Gin,WHITLEY NEILL WATERMELON & KIWI 43%,700ML,6,805.0,972,2160.0,134.17,180.0,360.0
Whiskey,WHYTE & MACKAY 40%,1.14L,6,555.0,648,1440.0,92.5,120.0,240.0
Whiskey,WHYTE & MACKAY 40%,1L,12,820.0,972,2160.0,68.33,90.0,180.0
Whiskey,WHYTE & MACKAY TRIPLE MATURED 40%,1L,12,825.0,972,2160.0,68.75,90.0,180.0
Whiskey,WILLIAM LAWSONS FINEST 40%,1L,12,890.0,1080,2400.0,74.17,100.0,200.0
Whiskey,WOODFORD RESERVE 43.2%,1L,6,1105.0,1350,3000.0,184.17,250.0,500.0
Whiskey,YAMAZAKI 12Y 43%,700ML,6,3965.0,4806,10680.0,660.83,890.0,1780.0
Whiskey,YAMAZAKI DISTILLERS RESERVE 43%,700ML,6,3530.0,4266,9480.0,588.33,790.0,1580.0
Wine,BARON D AGRINAC BLANC,75CL,6,475.0,594,1320.0,79.17,110.0,220.0
Wine,BARON D ARIGNAC RED 11%,750ML,6,475.0,594,1320.0,79.17,110.0,220.0
Wine,CALVET CONVERSATION BORDEAUX RED 13%,750ML,6,545.0,648,1440.0,90.83,120.0,240.0
