Category,Product Name,Size,Bottles Per Carton,Carton Cost Price (RM),Carton Selling Price (RM),Carton Original Price (RM),Bottle Cost Price (RM),Bottle Selling Price (RM),Bottle Original Price (RM)
Premium Spirits & Liquors,JACK DANIEL GENTLEMAN 40%,1L,6,970.0,1310,2620,161.67,220,440
Premium Spirits & Liquors,JACK DANIEL HONEY 35%,1L,12,1345.0,1820,3630,112.08,150,300
Premium Spirits & Liquors,JACK DANIEL MASTER DISTILLER,1L,12,1400.0,1890,3780,116.67,160,320
Premium Spirits & Liquors,JACK DANIEL RYE,1L,12,1390.0,1880,3750,115.83,160,310
Premium Spirits & Liquors,JACK DANIEL TENNESSEE FIRE 35%,700ML,6,775.0,1050,2090,129.17,170,350
Premium Spirits & Liquors,JACK DANIEL TWIN PACK 40%,1L,12,1330.0,1800,3590,110.83,150,300
Premium Spirits & Liquors,JACK DANIELS APPLE 35%,1L,12,1460.0,1970,3940,121.67,160,330
Premium Spirits & Liquors,JACK DANIELS SINGLE BARREL,75CL,6,995.0,1340,2690,165.83,220,450
Premium Spirits & Liquors,JAGERMEISTER 35%,1L,12,1165.0,1570,3150,97.08,130,260
Premium Spirits & Liquors,JAGERMEISTER 35%,1L,6,685.0,920,1850,114.17,150,310
Premium Spirits & Liquors,JAGERMEISTER 35%,700ML,6,625.0,840,1690,104.17,140,280
Premium Spirits & Liquors,JAGERMEISTER,700ML,12,1045.0,1410,2820,87.08,120,240
Premium Spirits & Liquors,JAGERMEISTER MANIFEST 38%,1L,6,1020.0,1380,2750,170.0,230,460
Premium Spirits & Liquors,JAMESON 40%,1L,12,1240.0,1670,3350,103.33,140,280
Premium Spirits & Liquors,JAMESON 40%,1L,6,720.0,970,1940,120.0,160,320
Premium Spirits & Liquors,JAMESON 40%,700ML,6,675.0,910,1820,112.5,150,300
Premium Spirits & Liquors,JAMESON 40%,750ML,12,1145.0,1550,3090,95.42,130,260
Premium Spirits & Liquors,JAMESON BLACK BARREL 40%,1L,6,1285.0,1730,3470,214.17,290,580
Premium Spirits & Liquors,JAMESON BLACK BARREL 40%,700ML,6,1080.0,1460,2920,180.0,240,490
Premium Spirits & Liquors,JAMESON CASKMATES IPA EDITION 40%,1L,6,1090.0,1470,2940,181.67,250,490
Premium Spirits & Liquors,JAMESON CASKMATES IPA EDITION 40%,700ML,6,990.0,1340,2670,165.0,220,450
Premium Spirits & Liquors,JAMESON CASKMATES OUTLAND 40%,700ML,6,990.0,1340,2670,165.0,220,450
Premium Spirits & Liquors,JAMESON CASKMATES STOUT EDITION 40%,1L,6,1090.0,1470,2940,181.67,250,490
Premium Spirits & Liquors,JAMESON CASKMATES STOUT EDITION 40%,700ML,6,990.0,1340,2670,165.0,220,450
Premium Spirits & Liquors,JAMESON TRIPLE TRIPLE 40%,1L,6,1060.0,1430,2860,176.67,240,480
Premium Spirits & Liquors,JIM BEAM BLACK 43%,700ML,6,695.0,940,1880,115.83,160,310
Premium Spirits & Liquors,JIM BEAM BLACK LABEL 43%,1L,12,1275.0,1720,3440,106.25,140,290
Premium Spirits & Liquors,JIM BEAM HONEY 32.5%,1L,12,1155.0,1560,3120,96.25,130,260
Premium Spirits & Liquors,JIM BEAM WHITE 40%,1L,12,1030.0,1390,2780,85.83,120,230
Premium Spirits & Liquors,JIM BEAM WHITE 40%,750ML,12,885.0,1190,2390,73.75,100,200
Premium Spirits & Liquors,JOSE CUERVO GOLD 40%,1L,12,1115.0,1510,3010,92.92,130,250
Premium Spirits & Liquors,JOSE CUERVO GOLD 40%,750ML,12,1020.0,1380,2750,85.0,110,230
Premium Spirits & Liquors,JOSE CUERVO SILVER 40%,1L,12,1115.0,1510,3010,92.92,130,250
Premium Spirits & Liquors,JOSE CUERVO SILVER,700ML,12,1010.0,1360,2730,84.17,110,230
Premium Spirits & Liquors,JURA 19Y THE PAPS,700ML,6,2005.0,2710,5410,334.17,450,900
Premium Spirits & Liquors,JURA 21Y TIME MALT 46.7%,700ML,6,3195.0,4310,8630,532.5,720,1440
